sample_id,latitude,longitude,osm_query_date,query_radius_m,query_source,query_parameters,candidate_count,selected_osm_type,selected_osm_id,selected_osm_tags,water_feature_class,match_method,match_distance_m,manual_review,failure_diagnostics
S0519,43.25792,145.55628,2026-09-07T22:10:38.393393+00:00,1000.0,failed,"{""lat"": 43.25792, ""lon"": 145.55628, ""radius_m"": 1000.0}",0,,,,,unavailable,,False,"""HTTPError: 406 Client Error: Not Acceptable for url: https://overpass-api.de/api/interpreter?data=%5Bout%3Ajson%5D%3B%28way%28around%3A1000.0%2C43.25792%2C145.55628%29%5Bnatural%3Dwater%5D%3Bway%28around%3A1000.0%2C43.25792%2C145.55628%29%5Bwaterway%5D%3Bway%28around%3A1000.0%2C43.25792%2C145.55628%29%5Blanduse%3Dreservoir%5D%3B%29%3Bout+geom+tags%3B"""
S0528,42.83847,27.88162,2026-09-07T22:10:38.393393+00:00,1000.0,failed,"{""lat"": 42.83847, ""lon"": 27.88162, ""radius_m"": 1000.0}",0,,,,,unavailable,,False,"""HTTPError: 406 Client Error: Not Acceptable for url: https://overpass-api.de/api/interpreter?data=%5Bout%3Ajson%5D%3B%28way%28around%3A1000.0%2C42.83847%2C27.88162%29%5Bnatural%3Dwater%5D%3Bway%28around%3A1000.0%2C42.83847%2C27.88162%29%5Bwaterway%5D%3Bway%28around%3A1000.0%2C42.83847%2C27.88162%29%5Blanduse%3Dreservoir%5D%3B%29%3Bout+geom+tags%3B"""
S0543,42.10155,-7.72533,2026-09-07T22:10:38.393393+00:00,1000.0,failed,"{""lat"": 42.10155, ""lon"": -7.72533, ""radius_m"": 1000.0}",0,,,,,unavailable,,False,"""HTTPError: 406 Client Error: Not Acceptable for url: https://overpass-api.de/api/interpreter?data=%5Bout%3Ajson%5D%3B%28way%28around%3A1000.0%2C42.10155%2C-7.72533%29%5Bnatural%3Dwater%5D%3Bway%28around%3A1000.0%2C42.10155%2C-7.72533%29%5Bwaterway%5D%3Bway%28around%3A1000.0%2C42.10155%2C-7.72533%29%5Blanduse%3Dreservoir%5D%3B%29%3Bout+geom+tags%3B"""
S0558,40.84116,-124.07663,2026-09-07T22:10:38.393393+00:00,1000.0,failed,"{""lat"": 40.84116, ""lon"": -124.07663, ""radius_m"": 1000.0}",0,,,,,unavailable,,False,"""HTTPError: 406 Client Error: Not Acceptable for url: https://overpass-api.de/api/interpreter?data=%5Bout%3Ajson%5D%3B%28way%28around%3A1000.0%2C40.84116%2C-124.07663%29%5Bnatural%3Dwater%5D%3Bway%28around%3A1000.0%2C40.84116%2C-124.07663%29%5Bwaterway%5D%3Bway%28around%3A1000.0%2C40.84116%2C-124.07663%29%5Blanduse%3Dreservoir%5D%3B%29%3Bout+geom+tags%3B"""
S0565,40.32427,19.50981,2026-09-07T22:10:38.393393+00:00,1000.0,failed,"{""lat"": 40.32427, ""lon"": 19.50981, ""radius_m"": 1000.0}",0,,,,,unavailable,,False,"""HTTPError: 406 Client Error: Not Acceptable for url: https://overpass-api.de/api/interpreter?data=%5Bout%3Ajson%5D%3B%28way%28around%3A1000.0%2C40.32427%2C19.50981%29%5Bnatural%3Dwater%5D%3Bway%28around%3A1000.0%2C40.32427%2C19.50981%29%5Bwaterway%5D%3Bway%28around%3A1000.0%2C40.32427%2C19.50981%29%5Blanduse%3Dreservoir%5D%3B%29%3Bout+geom+tags%3B"""
S0573,39.36487,141.8973,2026-09-07T22:10:38.393393+00:00,1000.0,failed,"{""lat"": 39.36487, ""lon"": 141.8973, ""radius_m"": 1000.0}",0,,,,,unavailable,,False,"""HTTPError: 406 Client Error: Not Acceptable for url: https://overpass-api.de/api/interpreter?data=%5Bout%3Ajson%5D%3B%28way%28around%3A1000.0%2C39.36487%2C141.8973%29%5Bnatural%3Dwater%5D%3Bway%28around%3A1000.0%2C39.36487%2C141.8973%29%5Bwaterway%5D%3Bway%28around%3A1000.0%2C39.36487%2C141.8973%29%5Blanduse%3Dreservoir%5D%3B%29%3Bout+geom+tags%3B"""
S0584,37.80372,-122.45375,2026-09-07T22:10:38.393393+00:00,1000.0,failed,"{""lat"": 37.80372, ""lon"": -122.45375, ""radius_m"": 1000.0}",0,,,,,unavailable,,False,"""HTTPError: 406 Client Error: Not Acceptable for url: https://overpass-api.de/api/interpreter?data=%5Bout%3Ajson%5D%3B%28way%28around%3A1000.0%2C37.80372%2C-122.45375%29%5Bnatural%3Dwater%5D%3Bway%28around%3A1000.0%2C37.80372%2C-122.45375%29%5Bwaterway%5D%3Bway%28around%3A1000.0%2C37.80372%2C-122.45375%29%5Blanduse%3Dreservoir%5D%3B%29%3Bout+geom+tags%3B"""
S0585,37.78816,-122.48398,2026-09-07T22:10:38.393393+00:00,1000.0,failed,"{""lat"": 37.78816, ""lon"": -122.48398, ""radius_m"": 1000.0}",0,,,,,unavailable,,False,"""HTTPError: 406 Client Error: Not Acceptable for url: https://overpass-api.de/api/interpreter?data=%5Bout%3Ajson%5D%3B%28way%28around%3A1000.0%2C37.78816%2C-122.48398%29%5Bnatural%3Dwater%5D%3Bway%28around%3A1000.0%2C37.78816%2C-122.48398%29%5Bwaterway%5D%3Bway%28around%3A1000.0%2C37.78816%2C-122.48398%29%5Blanduse%3Dreservoir%5D%3B%29%3Bout+geom+tags%3B"""
S0587,37.63778,-8.61944,2026-09-07T22:10:38.393393+00:00,1000.0,failed,"{""lat"": 37.63778, ""lon"": -8.61944, ""radius_m"": 1000.0}",0,,,,,unavailable,,False,"""HTTPError: 406 Client Error: Not Acceptable for url: https://overpass-api.de/api/interpreter?data=%5Bout%3Ajson%5D%3B%28way%28around%3A1000.0%2C37.63778%2C-8.61944%29%5Bnatural%3Dwater%5D%3Bway%28around%3A1000.0%2C37.63778%2C-8.61944%29%5Bwaterway%5D%3Bway%28around%3A1000.0%2C37.63778%2C-8.61944%29%5Blanduse%3Dreservoir%5D%3B%29%3Bout+geom+tags%3B"""
S0591,37.16406,29.5764,2026-09-07T22:10:38.393393+00:00,1000.0,cache,"{""lat"": 37.16406, ""lon"": 29.5764, ""radius_m"": 1000.0}",1,way,257053971,"{""source"": ""bing"", ""waterway"": ""stream""}",stream,nearest_feature,988.369,False,"{""candidate_count"": 1, ""tied_osm_ids"": []}"
S0599,35.25527,136.56669,2026-09-07T22:10:38.393393+00:00,1000.0,failed,"{""lat"": 35.25527, ""lon"": 136.56669, ""radius_m"": 1000.0}",0,,,,,unavailable,,False,"""HTTPError: 406 Client Error: Not Acceptable for url: https://overpass-api.de/api/interpreter?data=%5Bout%3Ajson%5D%3B%28way%28around%3A1000.0%2C35.25527%2C136.56669%29%5Bnatural%3Dwater%5D%3Bway%28around%3A1000.0%2C35.25527%2C136.56669%29%5Bwaterway%5D%3Bway%28around%3A1000.0%2C35.25527%2C136.56669%29%5Blanduse%3Dreservoir%5D%3B%29%3Bout+geom+tags%3B"""
